Date,Description,Category,Amount,Type
28-09-2018,Gratuity,Investment,818,Debit
28-09-2018,Medical Insurance Employer,Insurance,1577,Debit
29-09-2018,Lunch Swiggy,OutsideFood,140,Debit
29-09-2018,Swiggy Super,OutsideFood,130,Debit
29-09-2018,Papa Mummy Train ticket BBS-RIG,Family,3510,Debit
29-09-2018,Swiggy Dinner,OutsideFood,180,Debit
29-09-2018,BOB Education Loan Recovery,DebtRepay,3863,Debit
30-09-2018,Cab to Moti's place,Transport,160,Debit
30-09-2018,Cab back to home,Transport,87,Debit
30-09-2018,Breakfast Swiggy,OutsideFood,110,Debit
30-09-2018,Dinner Swiggy,OutsideFood,80,Debit
30-09-2018,Rent + Maintenance,Utilities,10000,Debit
30-09-2018,Cab ,Transport,20,Debit
,,,,
01-10-2018,Auto,Transport,40,Debit
01-10-2018,Dosa Office,OutsideFood,35,Debit
01-10-2018,Panipuri,OutsideFood,20,Debit
01-10-2018,Grocery,Grocery,199,Debit
01-10-2018,Dab Paani,Grocery,25,Debit
01-10-2018,Snacks,Snacks,30,Debit
02-10-2018,Maid C310,Utilities,500,Debit
02-10-2018,Daab,Grocery,25,Debit
02-10-2018,Foodpanda food,OutsideFood,70,Debit
02-10-2018,Water C310,Utilities,200,Debit
03-10-2018,To Jagan,Friends,300,Debit
03-10-2018,Swiggy Milkshake,OutsideFood,130,Debit
03-10-2018,To Yamini,Friends,60,Debit
03-10-2018,Daab,Grocery,25,Debit
03-10-2018,Noodles Foodpanda,OutsideFood,30,Debit
03-10-2018,Rapido office,Transport,45,Debit
03-10-2018,Auto,Transport,10,Debit
03-10-2018,Upma,OutsideFood,30,Debit
04-10-2018,Rapido ,Transport,100,Debit
04-10-2018,CutFruits office,OutsideFood,20,Debit
04-10-2018,Auto,Transport,30,Debit
04-10-2018,Ola Share,Transport,40,Debit
04-10-2018,Sambhar Vada ,OutsideFood,35,Debit
05-10-2018,Pizza,OutsideFood,80,Debit
05-10-2018,Lunch,OutsideFood,70,Debit
05-10-2018,Rapido,Transport,44,Debit
05-10-2018,Dosa Office,OutsideFood,35,Debit
05-10-2018,Chocolate,Snacks,20,Debit
05-10-2018,Auto,Transport,10,Debit
06-10-2018,Swiggy food,OutsideFood,165,Debit
07-10-2018,Grocery Amazon,Grocery,270,Debit
07-10-2018,Daab,Grocery,25,Debit
07-10-2018,Banana,Grocery,20,Debit
07-10-2018,Uber Cab,Transport,290,Debit
07-10-2018,Food Zomato,OutsideFood,110,Debit
08-10-2018,Daab,Grocery,25,Debit
08-10-2018,Milap Donation NGO,Donation,200,Debit
08-10-2018,Auto,Transport,40,Debit
08-10-2018,Lunch,OutsideFood,70,Debit
08-10-2018,Breakfast Dosa Onion,OutsideFood,30,Debit
09-10-2018,Furlenco Furniture,Utilities,2000,Debit
09-10-2018,Snacks,Snacks,20,Debit
09-10-2018,Pendrive Amazon,Shopping,500,Debit
09-10-2018,Sambhar Vada ,OutsideFood,35,Debit
09-10-2018,Auto,Transport,40,Debit
09-10-2018,Lunch,OutsideFood,55,Debit
09-10-2018,Daab,Grocery,25,Debit
10-10-2018,Hard disk 2TB,Shopping,4206,Debit
10-10-2018,Lunch,OutsideFood,55,Debit
10-10-2018,Breakfast,OutsideFood,45,Debit
10-10-2018,Icecream,Snacks,40,Debit
10-10-2018,Auto,Transport,40,Debit
10-10-2018,Snacks,Snacks,60,Debit
10-10-2018,Daab,Grocery,25,Debit
11-10-2018,Swiggy Bliss Punjabi,OutsideFood,103,Debit
11-10-2018,Thickshake Swiggy,OutsideFood,135,Debit
11-10-2018,Steam Iron,Shopping,1249,Debit
11-10-2018,Kulfi,Snacks,30,Debit
11-10-2018,Auto,Transport,40,Debit
