Date,Description,Category,Amount,Type
17-12-2018,Rapido,Transport,36,Debit
17-12-2018,Swiggy,OutsideFood,145,Debit
17-12-2018,Hungerbox,OutsideFood,15,Debit
18-12-2018,Auto,Transport,30,Debit
18-12-2018,Lunch Hungerbox,OutsideFood,70,Debit
18-12-2018,Auto,Transport,10,Debit
19-12-2018,Auto,Transport,10,Debit
19-12-2018,Breakfast office,OutsideFood,48,Debit
19-12-2018,Rapido,Transport,36,Debit
19-12-2018,Pastry office,Snacks,45,Debit
19-12-2018,Lunch office,OutsideFood,70,Debit
20-11-2018,Udipi Upahar Chaat etc,OutsideFood,60,Debit
20-11-2018,Rapido,Transport,24,Debit
20-11-2018,Rapido,Transport,36,Debit
20-11-2018,Dosa Office,OutsideFood,40,Debit
21-12-2018,Rapido,Transport,52,Debit
21-12-2018,Rapido,Transport,55,Debit
21-12-2018,Swiggy,OutsideFood,176,Debit
21-12-2018,Cutfruits,Snacks,40,Debit
22-12-2018,Swiggy,OutsideFood,50,Debit
22-12-2018,Swiggy,OutsideFood,107,Debit
23-12-2018,Auto/Cab,Transport,180,Debit
23-12-2018,DMart Shopping Grocery,Grocery,500,Debit
23-12-2018,DMart Shopping Daily Needs,DailyNeeds,1050,Debit
23-12-2018,DMart Utilities,Shopping,500,Debit
23-12-2018,Rapido,Transport,60,Debit
23-12-2018,Samosa,Snacks,12,Debit
23-12-2018,Swiggy,OutsideFood,70,Debit
23-12-2018,Rapido DMart,Transport,80,Debit
24-12-2018,Amazon Pantry Grocery,Grocery,625,Debit
24-12-2018,Rapido,Transport,36,Debit
24-12-2018,Auto,Transport,10,Debit
24-12-2018,Swiggy,OutsideFood,75,Debit
24-12-2018,Snacks office,Snacks,25,Debit
24-12-2018,Auto,Transport,10,Debit
25-12-2018,IKEA Utilities,Shopping,2450,Debit
25-12-2018,Auto,Transport,90,Debit
25-12-2018,Rapido,OutsideFood,66,Debit
25-12-2018,Swiggy Paratha,OutsideFood,176,Debit
25-12-2018,To Amish,Friends,38,Debit
26-12-2018,Rapido,Transport,35,Debit
26-12-2018,For Moti,Friends,25,Debit
27-12-2018,Ola cab,Transport,94,Debit
27-12-2018,Rapido,Transport,27,Debit
27-12-2018,Haier 181L Fridge Flipkart,Shopping,8991,Debit
28-12-2018,Rapido,Transport,24,Debit
29-12-2018,Zomato Lunch,OutsideFood,90,Debit
29-12-2018,Swiggy Dinner,OutsideFood,79,Debit
30-12-2018,Uber cab,Transport,113,Debit
30-12-2018,Ola Auto,Transport,167,Debit
31-12-2018,Uber cab,Transport,141,Debit
31-12-2018,Maid C310,Utilities,500,Debit
31-12-2018,Water C310,Utilities,200,Debit
31-12-2018,Swiggy Lunch,OutsideFood,83,Debit
31-12-2018,Rent + Maintenance,Utilities,10000,Debit
31-12-2018,BOB Education Loan Recovery,DebtRepay,4010,Debit
31-12-2018,From Papa (for Fridge),Investment,10000,Credit
31-12-2018,Fridge,Shopping,10000,Debit
31-12-2018,Salary Credited,Paycheck,35676,Credit
31-12-2018,Non Salary Benefits,Paycheck,6675,Credit
31-12-2018,EPF Employer,Investment,2040,Debit
31-12-2018,EPF Employee,Investment,2040,Debit
31-12-2018,Professional Tax (State),TaxAndFees,200,Debit
31-12-2018,Gratuity,Investment,818,Debit
31-12-2018,Medical Insurance Employer,Insurance,1577,Debit
